GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Accounting-service,com.stone.accounting.converter.c2s,UserInfoC2SConverter,0,29,0,0,0,12,0,3,0,3
Accounting-service,com.stone.accounting.dao.impl,UserInfoDaoImpl,0,5,0,0,0,1,0,1,0,1
Accounting-service,com.stone.accounting.exception,ServiceException.ErrorType,0,34,0,0,0,4,0,1,0,1
Accounting-service,com.stone.accounting.exception,GlobalExceptionHandler,16,19,0,0,7,8,1,2,1,2
Accounting-service,com.stone.accounting.exception,ResourceNotFoundException,0,8,0,0,0,3,0,1,0,1
Accounting-service,com.stone.accounting.exception,ServiceException,20,8,0,0,9,4,6,2,6,2
Accounting-service,com.stone.accounting.controller,UserInfoController,0,37,0,2,0,8,0,3,0,2
Accounting-service,com.stone.accounting.converter.p2c,UserInfoP2CConverter,0,35,0,0,0,14,0,3,0,3
Accounting-service,com.stone.accounting,Application,5,3,0,0,2,1,1,1,1,1
Accounting-service,com.stone.accounting.manager,UserInfoManagerImpl,0,41,0,0,0,8,0,3,0,3
